Segment,Error_Code,Error_ID,Description
CM,16000,ERR_MARKET_NOT_OPEN,The trading system is not available for trading.
CM,16001,ERR_INVALID_USER_TYPE,Invalid User Type
CM,16003,ERR_BAD_TRANSACTION_CODE,Erroneous transaction code received.
CM,16004,ERR_USER_ALREADY_SIGNED_ON,User already signed on.
CM,16006,ERR_INVALID_SIGNON,"Invalid sign-on, Please try again."
CM,16007,ERR_SIGNON_NOT_POSSIBLE,Signing on to the trading system is restricted. Please try later on.
CM,16012,ERR_INVALID_SYMBOL,Invalid symbol/series.
CM,16015,NOT_YOUR_FILL,Invalid trade cancel request.
CM,16035,ERR_SECURITY_NOT_AVAILABLE,Security is unavailable for trading at this time. Please try later.
CM,16041,ERR_INVALID_BROKER_OR_BRANCH,Trading Member does not exist in the system.
CM,16042,ERR_USER_NOT_FOUND,Dealer does not exist in the system.
CM,16052,FUNCTION_NOT_AVAILABLE,When Preopen trade cancel request is rejected
CM,16053,ERR_PASSWORD_HAS_EXPIRED,"Your password has expired, must be changed."
CM,16054,ERR_INVALID_BRANCH,Branch does not exist in the system.
CM,16056,ERR_PROGRAM_ERROR,Program error.
CM,16060,ORDER_NOT_FOUND,Modified/Cancelled order not found
CM,16098,ERR_INVALID_BUYER_USER_ID,Invalid trader ID for buyer.
CM,16099,ERR_INVALID_SELLER_USER_ID,Invalid trader ID for seller.
CM,16104,ERR_SYSTEM_ERROR,System could not complete your transaction -ADMIN notified.
CM,16115,ERR_MOD_CAN_REJECT,Order Modification/ Cancellation rejected by the system.
CM,16123,ERR_CANT_COMPLETE_YOUR_REQUEST,System not able to complete your request. Please try again.
CM,16134,ERR_USER_IS_DISABLED,This Dealer is disabled. Please call the Exchange.
CM,16145,OE_INVALID_STOCK_STATUS,Security is not eligible to trade in Preopen.
CM,16148,ERR_INVALID_USER_ID,Invalid Dealer ID entered.
CM,16154,ERR_INVALID_TRADER_ID,Invalid Trader ID entered.
CM,16169,ERR_ATO_IN_OPEN,Order priced ATO cannot be entered when a security is open.
CM,16197,ORD_NOT_ALLOWED_IN_PREOPEN,Order Entry or Modification not allowed in preopen.
CM,16247,INVALID_PRICE,Invalid price in the price field.
CM,16251,ERR_TRADE_MOD_DIFF_VOL,Trade modification with different quantities is received.
CM,16252,CXLD_TRADE_MOD_REQUEST,Cancelled the trade modify request.
CM,16260,OE_DELETED_BUT_EXISTS,Record is there in master file but delete flag is set.
CM,16273,ERR_NOT_FOUND,Does not exist.
CM,16278,ERR_MARKETS_CLOSED,The markets have not been opened for trading.
CM,16279,ERR_SECURITY_NOT_ADMITTED,The security has not yet been admitted for trading.
CM,16280,ERR_SECURITY_MATURED,The security has matured.
CM,16281,ERR_SECURITY_EXPELLED,The security has been expelled.
CM,16282,ERR_QUANTITY_EXCEEDS_ISSUED_CAPITAL,The order quantity is greater than the issued capital.
CM,16283,ERR_PRICE_NOT_MULT_TICK_SIZE,The order price is not multiple of the ticksize.
CM,16284,ERR_PRICE_EXCEEDS_DAY_MIN_MAX,The order price is out of the day‟s price range.
CM,16285,ERR_BROKER_NOT_ACTIVE,The broker is not active.
CM,16303,OE_AUCTION_PENDING,Request denied. Pending auctions.
CM,16307,ERR_ QUANTITY_FREEZE_CANCELLED,The order is canceled due to quantity freeze.
CM,16308,ERR_PRICE_FREEZE_CANCELLED,The order is canceled due to price freeze.
CM,16310,AON_VOLUME_NOT_ENOUGH,AON volume not enough
CM,16311,ERR_SOLICITOR_PERIOD_OVER,The Solicitor period for the Auction is over.
CM,16312,ERR_COMPETITIOR_PERIOD_OVER,The Competitor period for the Auction is over.
CM,16313,OE_AUC_PERIOD_GREATER,The Auction period will cross Market Close time.
CM,16314,OE_AUC_NOT_CAN,The Auction cannot be cancelled.
CM,16315,ERR_LIMIT_WORSE_TRIGGER,The limit price is worse than the trigger price.
CM,16316,ERR_TRG_PRICE_NOT_MULT_TICK_SIZE,The trigger price is not a multiple of tick size.
CM,16317,ERR_NO_AON_IN_LIMITS,AON attribute not allowed.
CM,16318,ERR_NO_MF_IN_LIMITS,MF attribute not allowed.
CM,16319,ERR_NO_AON_IN_SECURITY,AON attribute not allowed at security level.
CM,16320,ERR_NO_MF_IN_SECURITY,MF attribute not allowed at security level.
CM,16321,ERR_MF_EXCEEDS_DQ,MF quantity is greater than Disclosed quantity.
CM,16322,ERR_MF_NOT_MULT_BOARD_LOT,MF quantity is not a multiple of regular lot.
CM,16323,ERR_MF_EXCEEDS_ORIGINAL_ QUANTITY,MF quantity is greater than Original quantity.
